image_paths,labels,other_labels
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/146019.png,Instrumental,"['Soundtrack', 'Instrumental']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/024430.png,Hip-Hop,['Hip-Hop']
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/027612.png,International,"['International', 'Europe', 'Flamenco', 'Spanish', 'Latin']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/115925.png,Folk,"['Psych-Folk', 'Folk', 'Freak-Folk']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/055233.png,International,"['International', 'Reggae - Dub']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/118739.png,Folk,['Folk']
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/011679.png,International,"['International', 'Latin America']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/110623.png,Experimental,"['Minimalism', 'Experimental']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/135222.png,International,"['Turkish', 'International', 'Middle East']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/052646.png,Electronic,"['Techno', 'Electronic']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/106564.png,Rock,"['Surf', 'Goth', 'Rock', 'Garage']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/058166.png,Pop,"['Synth Pop', 'Pop']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/089847.png,Hip-Hop,"['Rap', 'Hip-Hop']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/029530.png,Electronic,"['Chiptune', 'Chip Music', 'Electronic']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/047671.png,Pop,"['Pop', 'Experimental Pop']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/029742.png,Experimental,"['Experimental', 'Kid-Friendly', 'Novelty']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/094093.png,Rock,"['Indie-Rock', 'Shoegaze', 'Rock', 'Power-Pop', 'Punk']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/083911.png,Experimental,"['Avant-Garde', 'Sound Poetry', 'Experimental']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/084405.png,Experimental,"['Avant-Garde', 'Sound Poetry', 'Experimental']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/113110.png,Instrumental,"['Soundtrack', 'Instrumental']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/007483.png,Hip-Hop,['Hip-Hop']
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/048368.png,Rock,"['Rock', 'Metal']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/051111.png,Experimental,"['Avant-Garde', 'Experimental']"
/home/xnmaster/TestMachine/deep-learning-project-2024-ai_nndl_g9/spectrograms/114387.png,Electronic,"['Dubstep', 'Electronic']"
